6000	417	493	508.5	849.5	1105	1345	1660	1950	2330	2440	2580	2595	2685	2925	3215	3550	3710	3340	2735	2170	1875	1730	1605	1425	1300	1090	979	909.5	711	513.5	347	189	102.85	55.65	33	15.25	9.86	7.02	4.75	3.51	3.734632	3.572881	3.346071	2.983044	2.729141	2.194291	2.078435	1.802807	1.543134	1.388691	1.032945	0.883927	0.603033	0.512431	0.276189	0.147707	0.070134	0.028013	0.021083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6600	165	289.5	438.5	731.5	938.5	1345	1585	1930	2425	2605	2730	2710	2750	2935	3255	3605	3675	3370	2675	2120	1860	1720	1615	1455	1285	1055	979.5	861	724	538.5	304.5	193	105.5	50.7	29	19.75	15.7	7.915	5.985	2.785	3.67487	3.367492	3.275312	2.689235	2.677682	2.077428	2.023811	1.754674	1.583705	1.353184	1.05787	0.852299	0.63806	0.521703	0.326453	0.120634	0.070167	0.030028	0.01674	0.01002	0	0.003344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7200	99.25	310.5	569.5	770	1032.5	1400	1665	2155	2660	2920	2940	2970	2980	3125	3300	3745	3825	3495	2750	2160	1790	1740	1585	1505	1295	1070	976	855	714	527.5	334.5	185	101.5	57.85	24.75	18.2	10.065	7.915	5.99	6.295	4.122057	3.601014	3.335526	2.773462	2.841973	2.169754	2.124	1.929566	1.805572	1.32223	0.990784	1.070572	0.690683	0.491373	0.349606	0.126606	0.070134	0.042019	0.017569	0.014021	0.003504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7800	201.5	242.5	348	640.5	1006	1320	1630	2045	2640	2860	2980	2910	3005	3120	3285	3645	3740	3425	2810	2185	1805	1695	1645	1595	1335	1085	934.5	873.5	740	571.5	342	207	113	61.85	34.4	19.9	10.71	6.61	3.8	4.18	4.041788	3.664321	3.328504	3.073869	2.528163	2.061096	2.176578	1.813374	1.672607	1.241779	1.00484	0.905058	0.65913	0.526472	0.23074	0.126606	0.080655	0.010505	0.014055	0.007011	0.007008	0	0	0	0.003504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8400	81.25	198.5	343.5	607.5	905	1240	1550	2155	2595	2825	3045	3020	3040	3190	3305	3710	3725	3575	2785	2080	1740	1720	1620	1560	1350	1135	947	880.5	748	501	335	211	119	69.05	29.9	20.2	13	6.215	8.345	5.605	4.269873	3.823645	3.589815	3.311996	2.827254	2.178399	2.459966	1.974142	2.03397	1.470874	1.021125	1.038027	0.704607	0.531741	0.317075	0.134108	0.06144	0.043306	0.036214	0.007225	0.003611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9600	111	176.5	501.5	711	883	1120	1410	1880	2410	2570	2790	3010	3110	3220	3310	3480	3490	3195	2535	1930	1615	1475	1500	1390	1260	1085	970.5	883	735.5	565.5	386.5	215.5	132	63.15	34.8	22.3	10.52	10.95	10.75	5.665	4.844739	4.40649	4.168691	3.615422	3.416847	2.593991	2.642835	2.257117	2.005103	1.584638	1.328123	1.10231	0.760832	0.494902	0.349619	0.158264	0.070137	0.038519	0.01757	0.007011	0	0.003509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10200	173	194.5	375	548.5	840.5	1029.5	1380	1650	2145	2535	2715	2960	3055	3080	3290	3380	3405	3085	2415	1835	1510	1455	1450	1365	1250	1035	960	874.5	736.5	580.5	364	217.5	129.5	69.45	36.15	19.15	13.7	11.25	9.41	6.33	4.998372	4.642163	4.2777	3.72375	3.445094	3.032198	2.772553	2.464897	2.183591	1.437734	1.229757	1.144583	0.873038	0.579146	0.318157	0.154748	0.091179	0.024512	0.014056	0.003505	0.007008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10800	230.5	304.5	425	614.5	825.5	947.5	1225	1620	2045	2265	2655	2755	3035	3065	3220	3250	3235	2915	2375	1785	1460	1335	1315	1355	1225	1050	956.5	888.5	739.5	537	391.5	218.5	130	68.15	30.45	25.2	17.35	8.57	8.32	7.055	5.133398	4.947371	4.35069	4.02855	3.426996	3.027477	3.038049	2.380674	2.369449	1.669218	1.267403	1.263103	0.903378	0.611345	0.403565	0.119614	0.057828	0.039698	0.018108	0.014451	0.007223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11400	188.5	274.5	323.5	571.5	731	971.5	1315	1595	1925	2315	2650	3000	3105	3305	3315	3435	3320	3025	2405	1835	1465	1375	1390	1370	1300	1140	990.5	895	747.5	572.5	387	214	117	62.35	35.2	24.5	14.205	10.725	10.485	4.935	5.115307	4.948401	4.576884	3.573124	3.222795	3.044146	2.776628	2.294304	2.179524	1.589915	1.395147	1.220553	0.864486	0.556095	0.40159	0.132337	0.069451	0.041609	0.034796	0	0.00694	0.003475	0	0	0.00347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12600	208	244.5	436.5	590.5	741.5	1090	1310	1640	2220	2625	3075	3235	3380	3365	3525	3580	3460	3105	2455	1780	1405	1220	1260	1250	1240	1120	1002.5	971.5	807.5	642	439	255.5	144.5	81.15	35.95	27.3	16.25	11.8	8.58	5.6	5.519713	5.066177	4.894987	4.066382	3.849369	2.961222	3.343599	2.712357	2.295603	1.820145	1.337086	1.214451	0.908588	0.547892	0.281791	0.17582	0.053668	0.025008	0.017926	0.007153	0.003575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13200	136	269.5	411	583.5	725.5	1064.5	1255	1620	2020	2495	2875	3075	3150	3355	3370	3390	3355	2945	2325	1650	1285	1120	1130	1190	1135	1125	1105	1020	861	702	478	280.5	161	78.95	42.05	23.95	16.35	9.895	5.545	7.02	5.668481	5.053021	4.865911	3.974482	3.757128	3.037293	2.960667	2.437334	2.328591	1.7112	1.395189	1.147353	0.802016	0.531781	0.283891	0.135824	0.038199	0.02774	0.010439	0.006942	0.00347	0.003475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13800	219.5	291.5	471	643.5	757.5	1023.5	1060	1380	1795	2095	2430	2815	2900	3105	3195	3295	3090	2760	2030	1445	1090	991.5	1019.5	1110	1225	1235	1210	1055	864.5	659	477.5	276	154	77.75	37.6	28	13.2	13.35	7.73	9.79	5.79949	5.825438	5.186904	4.389166	3.793101	3.136993	3.200443	2.724381	2.332754	1.706562	1.508268	1.109831	0.701193	0.553054	0.31782	0.113674	0.077926	0.035369	0.007099	0	0.003539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
